Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday
Regency House,"121 Penang Road, S(238464)","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 8am to 5pm","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Regent Hotel (Basement Parking),"1 Cuscaden Road, S(249715)","\$5.00 for 1st hr, \$2.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays
RELC International Hotel,"30 Orange Grove Road, S(258352)","\$4.00 for 1st hr, \$3.00 for next subsequent 1hr from 7am to 5pm",\$4.50/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.50/entry from 7am to 7am the following day
Ren Ci Long Term Care,"10 Buangkok View, S(539747)",\$2.40/30min from 7am to 6pm,"\$2.40/entry from 6pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$0.04/min from 7am to 1pm, \$2.40/entry from 1pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$2.10/entry from 7am to 9pm, \$0.04/min from 9pm to 7am the following day"
Republic Plaza,"9 Raffles Place, S(048619)",\$3.00/30min from 7am to 5pm,\$3.50/entry from 5pm to 7am the following day,\$3.50/entry from 7am to 7am the following day,\$3.50/entry from 7am to 7am the following day
NTU RTP Car Park (Research Techno Plaza),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking from 10pm to 8am the following day",Free Parking,Free Parking
"The Ritz Carlton, Millenia Singapore","7 Raffles Avenue, S(039799)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day"
River View Hotel,"382 Havelock Road, S(169629)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$4.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Robertson Walk,"11 Unity Street, S(237995)","\$1.50 for 1st hr, \$0.50 for next subsequent 30min form 6am to 6pm",\$4.00/entry from 6pm to 6am the following day,Charges same as weekdays,\$4.00/entry from 6am to 6am the following day
Robinson Centre,"61 Robinson Road, S(068893)",\$2.20/30min from 8am to 5pm,\$3.00/entry from 5pm to 8am the following day,"Charges same as weekdays, but \$2.50/entry after 1pm","Charges same as weekdays, but \$2.50/entry after 1pm"
Roxy Square,"50 East Coast Road, S(428769)","\$1.30 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm",\$2.50/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays
Royal Hotel,"36 Newton Road, S(307964)",\$1.71/hr from 6am to 6pm,\$3.21/entry after 6pm,Charges same as weekdays,Charges same as weekdays
Royal Plaza on Scotts,"25 Scotts Road, S(228220)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 8am to 6pm",\$5.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$5.50/entry from 8am to 8am the following day
Selegie Complex,"257 Selegie Road, S(188350)",*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*
Sembawang Shopping Centre,"604 Sembawang Road, S(758459)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm"
Sentosa - Beach Station,Beach View Road,\$0.02/min from 7am to 5pm,\$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays
SGX Centre,"2 Shenton Way, S(068804)",\$2.50/30min from 7am to 5pm,\$3.00/entry from 5pm to 10pm,\$3.00/entry from 7am to 10pm,\$3.00/entry from 7am to 10pm
Shangri-La Hotel,"22 Orange Grove Road, S(258350)","\$6.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$8.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Shaw Centre,"1 Scotts Road, S(228208)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays
Shaw House,"350 Orchard Road, S(238868)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays
Shaw Plaza,"352 Balestier Road, S(329780)","\$1.04 for 1st hr, \$0.53 for next subsequent 30min from 8am to 4.59pm",\$1.55/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
Shaw Towers,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.20/entry from 5pm to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day
Shenton House,"3 Shenton Way, S(068805)",\$3.00/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"Charges same as weekdays, but \$3.00/entry after 2pm",\$3.00/entry from 8am to 8am the following day
Sheraton Towers Singapore,"39 Scotts Road, S(228230)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$6.00/entry from 7am to 7am the following day
Singapore Institute of Architects (SIA),"79 Neil Road, S(088904)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates
Siglap Centre,"55 Siglap Road, S(455871)",\$0.82/30min from 8am to 5pm,\$0.82/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Sim Lim Square,"1 Rochor Canal Road, S(188504)",\$0.06/min form 3am to 6pm,\$2.14/entry from 6.00pm to 3am the following day,Charges same as weekdays,Charges same as weekdays
Sim Lim Tower,"10 Jalan Besar, S(208787)",\$1.60/30min from 8.30am to 6pm,\$1.60/30min from 6pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays
Singapore Conference Hall,"7 Shenton Way, S(068810)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Singapore Expo,"1 Expo Drive, S(486150)","\$3.20 for 1st 2hr, \$1.50 for next subsequent 30min","\$3.20 for 1st 2hr, \$1.50 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays
Singapore General Hospital (SGH),"1 Hospital Drive, S(169608)","\$2.16/hr for Carpark C from 7am to 9.59pm, \$1.20/hr for Carpark H from 7am to 9.59pm",\$2.14/entry from 10pm to 6.59am the following day for Carpark C and H.,Charges same as weekdays,"\$2.14/hr from 7.00am to 9:59pm, \$2.14/entry from 10pm to 6.59am the following day for Carpark C and H, \$2.14/entry from 7am to 6:59am the following day for Carpark H"
Singapore Management University (SMU),"50 Stamford Road, S(178899)","\$2.40/hr from 12midnight to 10.59am, \$3.00/hr from 11am to 1.59pm, \$2.40/hr from 2pm to 5.59pm",\$3.00/entry from 6pm to 11.59pm,"\$2.40/hr from 12midnight to 5.59pm, \$3.00/entry from 6pm to 11.59pm","\$2.40/hr from 12midnight to 5.59pm, \$3.00/entry from 6pm to 11.59pm"
Singapore Post Centre,"10 Eunos Road 8, S(408600)","\$1.60 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5pm","\$3.00/entry from 5pm to 12midnight, \$1.60 for 1st hr, \$1.00 for next subsequent 30min from 12midnight to 7am the following day","\$1.60 for 1st hr, \$1.00 for next subsequent 30min from 7am to 1pm, \$3.00/entry from 1pm to 12midnight the following day, \$1.60 for 1st hr, \$1.00 for next subsequent 30min from 12mi","\$3.00/entry from 7am to 12midnight, \$1.60 for 1st hr, \$1.00 for next subsequent 30min from 12midnight to 7am the following day"
TripleOne Somerset,"111 Somerset Road, S(238164)",\$1.50/30min from 7am to 5.59pm,"\$1.80/hr from 6pm to 11.59pm, \$0.50 for next subsequent 15min from 12midnight to 6.59am the following day","\$2.00 for 1st hr, \$0.50 for next subsequent 15min from 7am to 5.59pm, \$1.80/hr from 6pm to 11.59pm, \$0.50 for next subsequent 15min from 12midnight to 6.59am the following day","\$1.80/hr from 7am to 11.59pm, \$0.50 for next subsequent 15min from 12am to 6.59am the following day"
Singapore Shopping Centre,"190 Clemenceau Avenue, S(239924)","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 8.01am to 8pm",\$3.00/entry from 8.01pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Rochester Park,"2 Rochester Park, S(139213)",\$1.00/hr from 6am to 11pm,\$2.00/entry from 11pm to 6am,Charges same as weekdays,Charges same as weekdays
South Point,"200 Cantonment Road, S(089763)","\$3.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 10pm",\$3.00/entry from 10pm to 8am the follwoing day,Charges same as weekdays,\$5.00/entry from 8am to 8am the following day
SPRING Singapore,"2 Bukit Merah Central, S(159835)",\$0.50/30min from 7am to 6pm,\$2.50/entry from 6pm to 7am the following day,"\$0.50/30min from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day",\$2.50/entry from 7am to 7am the following day
Springleaf Tower,"3 Anson Road, S(079909)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only
St Andrew's Community Hospital,"8 Simei Street 3, S(529895)","\$1.20/hr, \$0.70 for next subsequent 30min from 8am to 5pm","\$1.20/hr, \$0.70 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
St Luke Hospital,"2 Bukit Batok Street 11, S(659674)",\$1.50/hr from 7am to 5pm,\$1.50/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Stadium Waterfront,"2 Stadium Walk, S(397691)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates
Starhub Centre,"51 Cuppage Road,S(29469)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7.00am to 6pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 6.00pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Sultan Plaza,"100 Jalan Sultan, S(199001)",\$1.80/hr from 8am to 6pm,\$3.00/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.00/entry from 8am to 8am the following day
Sun Plaza,"30 Sembawang Drive, S(757713)","\$1.39 for 1st hr, \$0.75 for subsequent 30min from 7am to 4.59pm","\$2.68/entry from 5pm to 10.59pm, \$3.96/entry from 11pm to 6.59am the following day",Charges same as Weekdays,Charges same as Weekdays
Sunshine Plaza,"91 Bencoolen Street, S(189652)","\$2.00 for 1st hr, \$0.04 for next subsequent min from 7am to 10pm from Mon to Thurs",\$5.00/entry from 10pm to 7am the following day from Mon to Thurs,"\$2.20 for 1st hr, \$0.04 for next subsequent min from 7am to 10pm, \$5.00/entry from 10pm to 6.59am the following day from Fri to Sun","\$2.20 for 1st hr, \$0.04 for next subsequent min from 7am to 9.59pm, \$5.00/entry from 10pm to 7am the following day from Fri to Sun"
Suntec City Mall,"3 Temasek Boulevard, S(038983)","\$1.10/hr from 4am to 7am, \$2.20 for 1st hr, \$1.10 for subsequent 30min from 7am to 5pm",\$2.20/entry from 5pm to 4am the following day,"\$1.10/hr from 4am to 5pm, \$2.80/entry from 5pm to 4am the following day","\$1.10/hr from 4am to 5pm, \$2.80/entry from 5pm to 4am the following day"
Swissotel Merchant Court Hotel,"20 Merchant Road, S(058281)","\$4.50 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm","\$4.50 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Swissotel The Stamford Hotel,"2 Stamford Road, S(178882)","\$2.20 for 1st 1hr, \$0.55 for next subsequent 15min from 8am to 6pm",\$3.00/entry from 6pm to 8am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 8am the following day","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 8am the following day"
"Takashimaya, Ngee Ann City","391 Orchard Road, S(238872)",\$1.28/30min (from 12.01am-12pm & 2.01pm-5pm) \$1.82/30min (from 12.01pm-2pm),"\$1.82/30min (from 5.01pm-7pm), \$4.28/entry from (7.01pm-12midnight)","\$2.57 for 1st hr, \$1.61 for next subsequent 30min (from 12.01am-12pm & 2.01pm-5pm), \$3.64 for 1st hr, \$2.14 for next subsequent 30min (from 12.01pm-2pm & 5.01pm-7pm), \$4.28/entry f","\$2.57 for 1st hr, \$1.61 for next subsequent 30min (from 12.01am-12pm & 2.01pm-5pm), \$3.64 for 1st hr, \$2.14 for next subsequent 30min (from 12.01pm-2pm & 5.01pm-7pm),"
Tampines Junction,"300 Tampines Avenue 5, S(529653)","\$1.50 for 1st hr, \$1.50 for next subsequent hr from 8am to 6pm",\$2.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.00/entry from 8am to 8am the following day
Tampines Mall,"4 Tampines Central 5, S(529510)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Fri and Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6 pm to 2.59am on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm. \$2.57/entry from 6pm to 2.59am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 3am to 5.59pm. \$2.57/entry from 6pm to 11.59am the following day"
Tampines Mart,"11 Tampines Street 32, S(529287)",\$0.70/30min from 8am to 5pm,\$0.70/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Tampines Plaza,"5 Tampines Central 1, S(529541)",\$1.00/30min from 7am to 5pm,\$2.50/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7am to 7am the following day
Safra Tampines,"1 Tampines Street 92, S(528882)","(For Member): \$0.81 for 1st hr, \$0.21 for next subsequent 15min, (For Public): \$1.75 for 1st hr, \$0.44 for next subsequent 15min from 6am to 6pm","(For Member): \$1.63/entry, (For Public): \$3.40/entry from 6pm to 6am the following day",Charges same as weekdays,"(For Member): \$1.63/entry, (For Public): \$3.40/entry from 6am to 6am the following day"
Tan Tock Seng Hospital (TTSH),"11 Jalan Tan Tock Seng, S(308433)",\$0.04/min from 7am to 6pm,\$2.40/entry from 6pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day
Tanah Merah Ferry Terminal,"50 Tanah Merah Ferry Road, S(498833)",\$1.50/hr up to a maximum charge of \$28/day,\$1.50/hr up to a maximum charge of \$28/day,Charges same as weekdays,Charges same as weekdays
Tanglin Mall,"163 Tanglin Road, S(247933)","\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6.01am to 5pm",\$3.50/entry from 5.01pm to 6am the following day,"\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6.01am to 1pm, \$3.50/entry from 1.01pm to 6am the following day",\$3.50/entry from 6.01am to 6am the following day
Tanglin Shopping Centre,"19 Tanglin Road, S(247909)","\$3.50 for 1st hr, \$1.75 for next subsequent 30min from 8am to 5.59pm",\$3.60/entry from 6pm to 7.59am the following day,Charges same as Weekdays,\$3.60/entry from 8am to 7.59am the following day
Tang Plaza,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min up to a maximum charge of \$18.00 from 6am to 6pm",\$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays
Tanjong Katong Complex,"845 Geylang Road, S(400845)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates
Tanjong Pagar Complex,"7 Keppel Road, S(089053)","\$1.29 for 1st 30min, \$0.43 for every 10min thereafter from 7am to7pm",\$2.14/entry from 7pm to 7am the following day,"\$1.29 for 1st 30min, \$0.43 for every 10min thereafter from 7am to 1pm, \$2.14/entry from 1pm to 7am the following day",\$2.14/entry from 7am to 7am the following day
The Verge,"2 Serangoon Road, S(218227)",\$1.60/hr from 7am to 5pm,"\$2.50/entry from 5pm to 12midnight, \$1.30/hr from 12midnight to 7am the following day",Charges same as weekdays,"\$2.50/entry from 7am to 12midnight, \$2.00/hr from 12midnight to 7am the following day"
Telepark,"5 Tampines Central 6, S(529482)",\$0.65/30min from 7am to 10pm,\$0.65/30min from 10.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays
8 Shenton Way,"8 Shenton Way, S(068811)",\$2.30/30min from 7am to 6pm,\$2.80/entry from 6pm to 6.59am the following day,"\$2.30/30min from 7am to 1pm, \$2.80/entry from 1pm to 6.59am the following day",\$2.80/entry from 7am to 7am the following day
Textile Centre,"200 Jalan Sultan, S(199018)",\$2.20/hr from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day
The Adelphi,"1 Coleman Street, S(179803)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 6am to 5pm",\$3.21/entry from 5pm to 1am the following day,Charges same as weekdays,\$3.21/entry from 6am to 1am the following day
The Concourse,"298 Beach Road, S(199554)","\$3.21 for 1st hr, \$1.605 for next subsequent 30min from 7am to 5pm",\$4.28/entry from 5pm to 7am the following day,"\$3.20 for 1st hr, \$1.50 for next subsequent 30min from 7am to 12pm, \$4.28/entry from 12pm to 7am the following day",\$4/entry after 5pm.
The Corporate Office,"138 Robinson Road, S(068906)",\$4.00/hr from 7.01am to 5pm,\$2.50/entry from 5.01pm to 7am the following day,Charges same as weekdays,Closed
Claymore Plaza,"6 Claymore Hill, S(229571)",\$1.50/30min from 9am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Closed
Gallery Hotel,"1 Nanson Road, S(238909)","\$3.00 for 1st hr, \$1.00 for next subsequent 30min from 12pm to 2pm, \$2.00 for 1st hr, \$0.50 for next subsequent 30min from 2.01pm to 6pm from Mon to Thurs","\$3.00 for 1st hr, \$1.00 for next subsequent 30min from 6.00pm to 11.59pm, \$2.00 for 1st hr, \$0.50 for next subsequent 30min from 12midnight to 11.59am the following day from Mon to","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 6.00am to 11.59pm , \$3.00 for 1st hr, \$1.50 for next subsequent 30min from 12am to 1.59am from Fri to Sun/PH","\$2.00 for 1st hr, \$0.50 for next subsequent 30min from 2.01am to 6.00am from Fri to Sun/PH."
The Heeren,"260 Orchard Road, S(238855)",\$1.50/30min from 8am to 11pm,\$1.50/30min from 8am to 11pm,"\$5.00 for 1st 3hr, \$1.50 for next subsequent 30min from 8am to 11pm","\$5.00 for 1st 3hr, \$1.50 for next subsequent 30min from 8am to 11pm"
The Plaza,"7500 Beach Road, S(199590)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 8am the following day,"\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 1pm, \$2.00 for 1st 4hr, \$0.50 for next subsequent 30min from 1pm to 8am the following day","\$2.00 for 1st 4hr, \$0.50 for next subsequent 30min from 8am to 8am the following day"
The Riverwalk,"20 Upper Circular Road, S(055416)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7.01am to 5pm","\$3.00/entry from 5.01pm to 12am the following day, \$5.00/entry from 12.01am to 7am","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7.01am to 3pm, \$3.00/entry from 3.01pm to 12am the following day, \$5.00/entry from 12.01am to 7am","\$3.00/entry from 7.01am to 12am the following day, \$5.00/entry from 12.01am to 7am"
Thomson Medical Centre,"339 Thomson Road, S(307677)","\$3.90 for 1st hr, \$1.90 for next subsequent 30min from 8am to 8.59pm",\$4.00/entry from 9pm to 8am the following day,"\$3.50 for 1st hr, \$1.70 for next subsequent 30min from 8am to 3pm","\$3.50 for 1st hr, \$1.70 for next subsequent 30min from 8am to 3pm"
Thomson Plaza,"301 Upper Thomson Road, S(574408)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 7am to 12midnight","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 7am to 12midnight","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 7am to 12midnight","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 7am to 12midnight"
Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,"\$1.50/hr from 7.00am to 6pm, \$3.60/entry from 6pm to 7am the following day"
Tong Eng Building,"101 Cecil Street, S(069533)",\$2.50/30min from 7am to 5pm,\$2.50/entry,"\$2.50/30min from 7am to 4pm, Car Park closes at 4pm",Closed
Hotel Jen at Tanglin,"1A Cuscaden Road, S(249716)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm",\$3.50/entry from 5pm to 7am the following day,"Charges same as weekdays, but \$3.50/entry after 1pm",\$3.50/entry from 7am to 7am the following day
Tristar Complex (Inn S'pore),"970 Geylang Road, S(423492)",\$0.40/30min from 7am to 5pm,\$2/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
20 Collyer Quay,"20 Collyer Quay, S(049319)",\$2.50/30min from 6am to 5pm,\$3.20/entry from 5pm to 11pm,Charges same as weekdays,Closed
The Grandstand,"720 Dunearn Road, S(789631)",Free Parking,Free Parking,Free Parking,Free Parking
UIC Building,"5 Shenton Way, S(068808)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
United House,"20 Kramat Lane, S(228773)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
United Square Shopping Mall,"101 Thomson Road, S(307591)","\$2.20 for 1st hr, \$0.30 for next subsequent 15min from 7am to 6pm",\$2.00/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$0.30 for next subsequent 15min from 7am to 6pm, \$2.00/entry from 6pm to 7am the following day","\$2.50 for 1st 3hr, \$0.30 for next subsequent 15min from 7am to 6pm, \$2.00/entry from 6pm to 7am the following day, \$2.50/entry from 7am to 7am the following day on Public Holidays"
UOB Plaza,"80 Raffles Place, S(048624)",\$3.00/30min from 7am to 6pm,"\$4.00/entry from 6pm to 12midnight, \$4.00/entry from 12midnight to 7am the following day","\$4.00/entry from 7am to 12midnight, \$4.00/entry from 12midnight to 7am the following day","\$4.00/entry from 7am to 12midnight, \$4.00/entry from 12midnight to 7am the following day"
UOL Building,"96 Somerset Road, S(238163)",*,*,*,*
The URA Centre (Basement Car Park),"45 Maxwell Road, S(069118)",\$1.40/30min from 7am to 10pm,\$1.40/30min from 7am to 10pm,Charges same as weekdays,Closed
Valley Point,"491 River Valley Road, S(248371)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 8am to 5pm","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Wellington Building,"20 Bideford Road, S(229921)",*,*,*,*
West Mall,"1 Bukit Batok Central Link, S(658713)","\$1.10 for 1st 2hr, \$0.60 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 6am the following day,"\$1.10 for 1st hr, \$0.60 for next subsequent 30min from 8am to 4.59pm, \$2.50/entry from 5pm to 6am the following day",\$2.50/entry from 8am to 8am the following day
West Point Family Hospital,"235 Corporation Drive, S(619771)",Free Parking,Free Parking,Free Parking,Free Parking
Wheelock Place,"501 Orchard Road, S(238880)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5.59pm",\$4.50/entry from 6pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
White Sands,"1 Pasir Ris Central Street 3, S(518457)","\$1.20/hr for 1st 2hr, \$1.20 for subsequent 30min from 7am to 7pm",\$2.00/entry from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Wisma Atria,"435 Orchard Road, S(238877)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7.01am to 5pm",\$3.50/entry from 5.01pm to 7am the following day,"\$2.40 for 1st hr, \$1.50 for next subsequent 30min from 7.01am to 5pm, \$3.50/entry from 5.01pm to 7am the following day","\$2.40 for 1st hr, \$1.50 for next subsequent 30min from 7.01am to 5pm, \$3.50/entry from 5.01pm to 7am the following day"
Woodlands Civic Centre,"900 South Woodlands Drive, S(730900)",\$0.50/30min from 7am to 10.30pm,"\$0.50/30min, \$2.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Yishun 10,"51 Yishun Central 1, S(768794)","\$1.28 for 1st hr, \$0.40 for next subsequent 15min from 7am to 5.59pm",\$2.57/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays
York Hotel,"21 Mount Elizabeth, S(228516)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 8.01am to 6pm",\$4.00/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$4.00/entry from 8am to 7.59am the following day
Young Women Christian Association (YWCA) Fort Canning Lodge,"6 Fort Canning Road, S(179494)","\$1.60 for 1st hr, \$0.90 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 8am the following day,"Charges same as weekdays but \$2.50/entry from 12.01pm to 5pm, \$2.50/entry from 5pm to 8am the following day",\$3.30/entry from 8.01am to 8am the following day
Savoy Theatre,"90 Boon Lay Place, S(238834)","\$1.20/hr from 8am to 5pm for cars, \$6.80/entry from 8am to 5pm for commercial vehicles","\$3.00/entry from 5.01pm to 7.59am the following day for cars, \$13.00/entry from 5.01pm to 7.59am the following day for commercial vehicles",Charges same as weekdays,"\$3.00/entry from 8am to 7.59am the following day for cars, \$13.00/entry from 8am to 7.59am the following day for commercial vehicles"
Henderson Industrial Park Blk 203,"203 Henderson Road, S(159546)",\$1.40/hr from 8am to 4.59pm,\$1.70/entry from 5pm to 7.59am the following day,Charges same as weekdays,Closed
NTUC Income Henderson Industrial Park,"201 Henderson Road, S(159545)",\$1.30/hr from 8am to 5pm,\$1.60/entry from 5pm to 8am the following day,Charges same as weekdays,Closed
Jurong Theatre,"101 Yung Sheng Road, S(618497)",\$1.60/hr from 8am to 8.59pm,\$3.00/entry from 9pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day
Serene Centre,"10 Jalan Serene, S(258748)","\$1.80 for 1st hr, \$1.80 for next subsequent 30min from 8am to 9.59pm",\$1.80/entry from 10pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
Hong Leong Garden Shopping Centre,"228 West Coast Way, Hong Leong Garden Shopping Centre, S(127111)",\$1.21/hr from 8am to 5pm,\$1.72/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.72/entry
Coronation Shopping Plaza,"587 Bukit Timah Road, S(269707)",\$2.30/hr from 7am to 7am the following day,\$2.30/hr from 7am to 7am the following day,Charges same as weekdays,Charges same as weekdays
Techplace 1,"4008 Ang Mo Kio Avenue 10, S(569625)","\$0.92 for 1st hr, \$1.12 for next subsequent hr from 8am to 5pm",\$1.74/entry from 5pm to 8am the following day,Charges same as weekdays,Closed
Balestier Warehouse,"12A Jalan Ampas, S(329516)","\$1.50 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm","\$1.50 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
